Epoch [001/100] | LR: 0.001000 | Time: 2m 48s | Train Acc: 75.12% | Valid Acc: 82.43%
Epoch [002/100] | LR: 0.000999 | Time: 2m 42s | Train Acc: 83.12% | Valid Acc: 87.71%
Epoch [003/100] | LR: 0.000998 | Time: 2m 42s | Train Acc: 86.75% | Valid Acc: 89.43%
Epoch [004/100] | LR: 0.000996 | Time: 2m 42s | Train Acc: 87.88% | Valid Acc: 89.86%
Epoch [005/100] | LR: 0.000994 | Time: 2m 42s | Train Acc: 89.77% | Valid Acc: 91.14%
Epoch [006/100] | LR: 0.000991 | Time: 2m 42s | Train Acc: 90.34% | Valid Acc: 90.14%
Epoch [007/100] | LR: 0.000988 | Time: 2m 42s | Train Acc: 91.04% | Valid Acc: 91.14%
Epoch [008/100] | LR: 0.000984 | Time: 2m 42s | Train Acc: 91.34% | Valid Acc: 91.57%
Epoch [009/100] | LR: 0.000980 | Time: 2m 42s | Train Acc: 91.46% | Valid Acc: 91.86%
Epoch [010/100] | LR: 0.000976 | Time: 2m 42s | Train Acc: 92.20% | Valid Acc: 92.00%
Epoch [011/100] | LR: 0.000970 | Time: 2m 42s | Train Acc: 92.23% | Valid Acc: 92.29%
Epoch [012/100] | LR: 0.000965 | Time: 2m 43s | Train Acc: 92.39% | Valid Acc: 91.29%
Epoch [013/100] | LR: 0.000959 | Time: 2m 43s | Train Acc: 91.93% | Valid Acc: 92.14%
Epoch [014/100] | LR: 0.000952 | Time: 2m 43s | Train Acc: 92.66% | Valid Acc: 91.43%
Epoch [015/100] | LR: 0.000946 | Time: 2m 42s | Train Acc: 92.46% | Valid Acc: 91.57%
Epoch [016/100] | LR: 0.000938 | Time: 2m 45s | Train Acc: 93.36% | Valid Acc: 92.71%
Epoch [017/100] | LR: 0.000930 | Time: 2m 42s | Train Acc: 92.95% | Valid Acc: 92.00%
Epoch [018/100] | LR: 0.000922 | Time: 2m 42s | Train Acc: 93.46% | Valid Acc: 92.71%
Epoch [019/100] | LR: 0.000914 | Time: 2m 42s | Train Acc: 93.43% | Valid Acc: 93.14%
Epoch [020/100] | LR: 0.000905 | Time: 2m 42s | Train Acc: 93.71% | Valid Acc: 93.14%
Epoch [021/100] | LR: 0.000895 | Time: 2m 42s | Train Acc: 93.95% | Valid Acc: 92.86%
Epoch [022/100] | LR: 0.000885 | Time: 2m 42s | Train Acc: 93.39% | Valid Acc: 93.00%
Epoch [023/100] | LR: 0.000875 | Time: 2m 42s | Train Acc: 93.98% | Valid Acc: 93.43%
Epoch [024/100] | LR: 0.000865 | Time: 2m 42s | Train Acc: 93.77% | Valid Acc: 93.29%
Epoch [025/100] | LR: 0.000854 | Time: 2m 42s | Train Acc: 94.02% | Valid Acc: 94.43%
Epoch [026/100] | LR: 0.000842 | Time: 2m 42s | Train Acc: 94.27% | Valid Acc: 93.57%
Epoch [027/100] | LR: 0.000831 | Time: 2m 42s | Train Acc: 94.41% | Valid Acc: 93.43%
Epoch [028/100] | LR: 0.000819 | Time: 2m 42s | Train Acc: 94.68% | Valid Acc: 93.43%
Epoch [029/100] | LR: 0.000807 | Time: 2m 43s | Train Acc: 94.64% | Valid Acc: 94.43%
Epoch [030/100] | LR: 0.000794 | Time: 2m 42s | Train Acc: 94.68% | Valid Acc: 93.14%
Epoch [031/100] | LR: 0.000781 | Time: 2m 42s | Train Acc: 94.36% | Valid Acc: 92.57%
Epoch [032/100] | LR: 0.000768 | Time: 2m 42s | Train Acc: 94.89% | Valid Acc: 92.86%
Epoch [033/100] | LR: 0.000755 | Time: 2m 42s | Train Acc: 94.95% | Valid Acc: 93.57%
Epoch [034/100] | LR: 0.000741 | Time: 2m 47s | Train Acc: 94.75% | Valid Acc: 93.57%
Epoch [035/100] | LR: 0.000727 | Time: 2m 42s | Train Acc: 95.00% | Valid Acc: 93.57%
Epoch [036/100] | LR: 0.000713 | Time: 2m 42s | Train Acc: 95.39% | Valid Acc: 93.71%
Epoch [037/100] | LR: 0.000699 | Time: 2m 42s | Train Acc: 95.11% | Valid Acc: 93.57%
Epoch [038/100] | LR: 0.000684 | Time: 2m 42s | Train Acc: 95.50% | Valid Acc: 94.14%
Epoch [039/100] | LR: 0.000670 | Time: 2m 42s | Train Acc: 95.55% | Valid Acc: 93.57%
Epoch [040/100] | LR: 0.000655 | Time: 2m 47s | Train Acc: 95.41% | Valid Acc: 93.43%
Epoch [041/100] | LR: 0.000640 | Time: 2m 42s | Train Acc: 96.09% | Valid Acc: 92.71%
Epoch [042/100] | LR: 0.000625 | Time: 2m 42s | Train Acc: 96.12% | Valid Acc: 93.43%
Epoch [043/100] | LR: 0.000609 | Time: 2m 43s | Train Acc: 96.48% | Valid Acc: 93.57%
Epoch [044/100] | LR: 0.000594 | Time: 2m 43s | Train Acc: 96.32% | Valid Acc: 92.71%
Epoch [045/100] | LR: 0.000579 | Time: 2m 43s | Train Acc: 95.88% | Valid Acc: 93.86%
Epoch [046/100] | LR: 0.000563 | Time: 2m 43s | Train Acc: 96.32% | Valid Acc: 93.43%
Epoch [047/100] | LR: 0.000548 | Time: 2m 43s | Train Acc: 96.20% | Valid Acc: 92.57%
Epoch [048/100] | LR: 0.000532 | Time: 2m 43s | Train Acc: 96.89% | Valid Acc: 93.43%
Epoch [049/100] | LR: 0.000516 | Time: 2m 43s | Train Acc: 97.09% | Valid Acc: 90.43%
Epoch [050/100] | LR: 0.000501 | Time: 2m 43s | Train Acc: 96.43% | Valid Acc: 93.29%
Epoch [051/100] | LR: 0.000485 | Time: 2m 43s | Train Acc: 96.98% | Valid Acc: 93.00%
Epoch [052/100] | LR: 0.000469 | Time: 2m 47s | Train Acc: 97.57% | Valid Acc: 93.71%
Epoch [053/100] | LR: 0.000453 | Time: 2m 43s | Train Acc: 97.59% | Valid Acc: 93.57%
Epoch [054/100] | LR: 0.000438 | Time: 2m 43s | Train Acc: 97.86% | Valid Acc: 91.57%
Epoch [055/100] | LR: 0.000422 | Time: 2m 42s | Train Acc: 97.61% | Valid Acc: 92.29%
Epoch [056/100] | LR: 0.000407 | Time: 2m 42s | Train Acc: 97.66% | Valid Acc: 92.29%
Epoch [057/100] | LR: 0.000392 | Time: 2m 42s | Train Acc: 97.95% | Valid Acc: 92.14%
Epoch [058/100] | LR: 0.000376 | Time: 2m 42s | Train Acc: 97.70% | Valid Acc: 93.43%
Epoch [059/100] | LR: 0.000361 | Time: 2m 42s | Train Acc: 97.71% | Valid Acc: 93.71%
Epoch [060/100] | LR: 0.000346 | Time: 2m 42s | Train Acc: 98.54% | Valid Acc: 92.86%
Epoch [061/100] | LR: 0.000331 | Time: 2m 42s | Train Acc: 98.34% | Valid Acc: 91.86%
Epoch [062/100] | LR: 0.000317 | Time: 2m 42s | Train Acc: 98.55% | Valid Acc: 92.71%
Epoch [063/100] | LR: 0.000302 | Time: 2m 42s | Train Acc: 98.50% | Valid Acc: 92.57%
Epoch [064/100] | LR: 0.000288 | Time: 2m 42s | Train Acc: 99.04% | Valid Acc: 91.29%
Epoch [065/100] | LR: 0.000274 | Time: 2m 45s | Train Acc: 98.55% | Valid Acc: 92.29%
Epoch [066/100] | LR: 0.000260 | Time: 2m 45s | Train Acc: 99.07% | Valid Acc: 91.71%
Epoch [067/100] | LR: 0.000246 | Time: 2m 42s | Train Acc: 99.12% | Valid Acc: 93.43%
Epoch [068/100] | LR: 0.000233 | Time: 2m 42s | Train Acc: 99.09% | Valid Acc: 92.14%
Epoch [069/100] | LR: 0.000220 | Time: 2m 42s | Train Acc: 99.29% | Valid Acc: 93.29%
Epoch [070/100] | LR: 0.000207 | Time: 2m 42s | Train Acc: 99.38% | Valid Acc: 93.14%
Epoch [071/100] | LR: 0.000194 | Time: 2m 42s | Train Acc: 99.48% | Valid Acc: 93.00%
Epoch [072/100] | LR: 0.000182 | Time: 2m 42s | Train Acc: 99.25% | Valid Acc: 93.14%
Epoch [073/100] | LR: 0.000170 | Time: 2m 42s | Train Acc: 99.59% | Valid Acc: 92.86%
Epoch [074/100] | LR: 0.000159 | Time: 2m 43s | Train Acc: 99.30% | Valid Acc: 93.00%
Epoch [075/100] | LR: 0.000147 | Time: 2m 42s | Train Acc: 99.57% | Valid Acc: 93.14%
Epoch [076/100] | LR: 0.000136 | Time: 2m 42s | Train Acc: 99.55% | Valid Acc: 92.86%
Epoch [077/100] | LR: 0.000126 | Time: 2m 42s | Train Acc: 99.55% | Valid Acc: 93.71%
Epoch [078/100] | LR: 0.000116 | Time: 2m 42s | Train Acc: 99.54% | Valid Acc: 93.00%
Epoch [079/100] | LR: 0.000106 | Time: 2m 42s | Train Acc: 99.68% | Valid Acc: 93.00%
Epoch [080/100] | LR: 0.000096 | Time: 2m 42s | Train Acc: 99.52% | Valid Acc: 93.57%
Epoch [081/100] | LR: 0.000087 | Time: 2m 43s | Train Acc: 99.50% | Valid Acc: 92.86%
Epoch [082/100] | LR: 0.000079 | Time: 2m 42s | Train Acc: 99.59% | Valid Acc: 93.00%
Epoch [083/100] | LR: 0.000071 | Time: 2m 42s | Train Acc: 99.68% | Valid Acc: 93.14%
Epoch [084/100] | LR: 0.000063 | Time: 2m 42s | Train Acc: 99.70% | Valid Acc: 92.43%
Epoch [085/100] | LR: 0.000055 | Time: 2m 42s | Train Acc: 99.80% | Valid Acc: 93.14%
Epoch [086/100] | LR: 0.000049 | Time: 2m 42s | Train Acc: 99.86% | Valid Acc: 93.00%
Epoch [087/100] | LR: 0.000042 | Time: 2m 42s | Train Acc: 99.70% | Valid Acc: 92.57%
Epoch [088/100] | LR: 0.000036 | Time: 2m 42s | Train Acc: 99.86% | Valid Acc: 93.14%
Epoch [089/100] | LR: 0.000031 | Time: 2m 42s | Train Acc: 99.68% | Valid Acc: 92.71%
Epoch [090/100] | LR: 0.000025 | Time: 2m 42s | Train Acc: 99.71% | Valid Acc: 92.71%
Epoch [091/100] | LR: 0.000021 | Time: 2m 42s | Train Acc: 99.73% | Valid Acc: 93.00%
Epoch [092/100] | LR: 0.000017 | Time: 2m 42s | Train Acc: 99.88% | Valid Acc: 92.86%
Epoch [093/100] | LR: 0.000013 | Time: 2m 42s | Train Acc: 99.71% | Valid Acc: 93.29%
Epoch [094/100] | LR: 0.000010 | Time: 2m 42s | Train Acc: 99.80% | Valid Acc: 92.57%
Epoch [095/100] | LR: 0.000007 | Time: 2m 42s | Train Acc: 99.77% | Valid Acc: 92.43%
Epoch [096/100] | LR: 0.000005 | Time: 2m 42s | Train Acc: 99.79% | Valid Acc: 92.71%
Epoch [097/100] | LR: 0.000003 | Time: 2m 42s | Train Acc: 99.82% | Valid Acc: 92.71%
Epoch [098/100] | LR: 0.000002 | Time: 2m 43s | Train Acc: 99.86% | Valid Acc: 92.29%
Epoch [099/100] | LR: 0.000001 | Time: 2m 42s | Train Acc: 99.73% | Valid Acc: 92.86%
Epoch [100/100] | LR: 0.000001 | Time: 2m 42s | Train Acc: 99.75% | Valid Acc: 92.71%
