Epoch [001/100] | Head LR: 0.000280 | Time: 2m 47s | Train Acc: 47.29% | Valid Acc: 64.86%
Epoch [002/100] | Head LR: 0.000460 | Time: 2m 42s | Train Acc: 64.29% | Valid Acc: 73.14%
Epoch [003/100] | Head LR: 0.000640 | Time: 2m 43s | Train Acc: 70.54% | Valid Acc: 78.57%
Epoch [004/100] | Head LR: 0.000820 | Time: 2m 43s | Train Acc: 75.50% | Valid Acc: 80.86%
Epoch [005/100] | Head LR: 0.001000 | Time: 2m 43s | Train Acc: 78.21% | Valid Acc: 83.29%
Epoch [006/100] | Head LR: 0.001000 | Time: 2m 43s | Train Acc: 80.68% | Valid Acc: 84.29%
Epoch [007/100] | Head LR: 0.000999 | Time: 2m 42s | Train Acc: 81.64% | Valid Acc: 86.14%
Epoch [008/100] | Head LR: 0.000998 | Time: 2m 44s | Train Acc: 83.32% | Valid Acc: 87.29%
Epoch [009/100] | Head LR: 0.000996 | Time: 2m 43s | Train Acc: 84.79% | Valid Acc: 87.00%
Epoch [010/100] | Head LR: 0.000993 | Time: 2m 43s | Train Acc: 85.36% | Valid Acc: 86.71%
Epoch [011/100] | Head LR: 0.000990 | Time: 2m 43s | Train Acc: 85.21% | Valid Acc: 86.71%
Epoch [012/100] | Head LR: 0.000987 | Time: 2m 43s | Train Acc: 86.45% | Valid Acc: 89.57%
Epoch [013/100] | Head LR: 0.000983 | Time: 2m 42s | Train Acc: 87.43% | Valid Acc: 88.14%
Epoch [014/100] | Head LR: 0.000978 | Time: 2m 43s | Train Acc: 87.34% | Valid Acc: 88.57%
Epoch [015/100] | Head LR: 0.000973 | Time: 2m 43s | Train Acc: 88.54% | Valid Acc: 90.57%
Epoch [016/100] | Head LR: 0.000967 | Time: 2m 43s | Train Acc: 88.07% | Valid Acc: 88.71%
Epoch [017/100] | Head LR: 0.000961 | Time: 2m 43s | Train Acc: 88.84% | Valid Acc: 90.14%
Epoch [018/100] | Head LR: 0.000955 | Time: 2m 43s | Train Acc: 89.23% | Valid Acc: 88.86%
Epoch [019/100] | Head LR: 0.000947 | Time: 2m 42s | Train Acc: 89.57% | Valid Acc: 89.29%
Epoch [020/100] | Head LR: 0.000940 | Time: 2m 43s | Train Acc: 89.66% | Valid Acc: 90.29%
Epoch [021/100] | Head LR: 0.000932 | Time: 2m 43s | Train Acc: 90.70% | Valid Acc: 91.29%
Epoch [022/100] | Head LR: 0.000923 | Time: 2m 43s | Train Acc: 90.48% | Valid Acc: 90.14%
Epoch [023/100] | Head LR: 0.000914 | Time: 2m 43s | Train Acc: 90.38% | Valid Acc: 89.71%
Epoch [024/100] | Head LR: 0.000905 | Time: 2m 43s | Train Acc: 90.50% | Valid Acc: 90.71%
Epoch [025/100] | Head LR: 0.000895 | Time: 2m 43s | Train Acc: 90.86% | Valid Acc: 90.57%
Epoch [026/100] | Head LR: 0.000884 | Time: 2m 42s | Train Acc: 90.62% | Valid Acc: 91.43%
Epoch [027/100] | Head LR: 0.000874 | Time: 2m 43s | Train Acc: 90.96% | Valid Acc: 90.71%
Epoch [028/100] | Head LR: 0.000862 | Time: 2m 43s | Train Acc: 91.09% | Valid Acc: 90.00%
Epoch [029/100] | Head LR: 0.000851 | Time: 2m 43s | Train Acc: 91.20% | Valid Acc: 91.86%
Epoch [030/100] | Head LR: 0.000839 | Time: 2m 43s | Train Acc: 91.11% | Valid Acc: 92.57%
Epoch [031/100] | Head LR: 0.000826 | Time: 2m 42s | Train Acc: 91.52% | Valid Acc: 91.29%
Epoch [032/100] | Head LR: 0.000814 | Time: 2m 46s | Train Acc: 91.36% | Valid Acc: 91.86%
Epoch [033/100] | Head LR: 0.000801 | Time: 2m 42s | Train Acc: 91.98% | Valid Acc: 92.00%
Epoch [034/100] | Head LR: 0.000787 | Time: 2m 42s | Train Acc: 92.32% | Valid Acc: 92.14%
Epoch [035/100] | Head LR: 0.000774 | Time: 2m 46s | Train Acc: 91.55% | Valid Acc: 92.43%
Epoch [036/100] | Head LR: 0.000760 | Time: 2m 42s | Train Acc: 92.04% | Valid Acc: 92.14%
Epoch [037/100] | Head LR: 0.000745 | Time: 2m 42s | Train Acc: 91.91% | Valid Acc: 91.29%
Epoch [038/100] | Head LR: 0.000731 | Time: 2m 42s | Train Acc: 92.50% | Valid Acc: 91.29%
Epoch [039/100] | Head LR: 0.000716 | Time: 2m 42s | Train Acc: 92.88% | Valid Acc: 92.43%
Epoch [040/100] | Head LR: 0.000701 | Time: 2m 43s | Train Acc: 92.93% | Valid Acc: 92.00%
Epoch [041/100] | Head LR: 0.000686 | Time: 2m 43s | Train Acc: 92.41% | Valid Acc: 91.86%
Epoch [042/100] | Head LR: 0.000670 | Time: 2m 43s | Train Acc: 92.86% | Valid Acc: 92.71%
Epoch [043/100] | Head LR: 0.000655 | Time: 2m 42s | Train Acc: 93.02% | Valid Acc: 92.71%
Epoch [044/100] | Head LR: 0.000639 | Time: 2m 42s | Train Acc: 93.16% | Valid Acc: 92.71%
Epoch [045/100] | Head LR: 0.000623 | Time: 2m 42s | Train Acc: 92.95% | Valid Acc: 92.57%
Epoch [046/100] | Head LR: 0.000607 | Time: 2m 42s | Train Acc: 93.23% | Valid Acc: 92.43%
Epoch [047/100] | Head LR: 0.000591 | Time: 2m 43s | Train Acc: 93.54% | Valid Acc: 92.57%
Epoch [048/100] | Head LR: 0.000575 | Time: 2m 43s | Train Acc: 93.55% | Valid Acc: 92.43%
Epoch [049/100] | Head LR: 0.000558 | Time: 2m 43s | Train Acc: 93.61% | Valid Acc: 92.43%
